threads,size, sddm_time, diag_max_time, create_time, b_min_reduce_time, b_min_critical_time, b_min_tree_time
1,1024, 0.00210029925, 4.1055501e-06, 0.0029119117, 0.00139290345, 0.0096798096, 0.011041833499999999
2,1024, 0.0016700130999999997, 4.31099985e-06, 0.00176569825, 0.0010247876, 0.03443592350000001, 0.035185488
4,1024, 0.00113047565, 4.7589999500000005e-06, 0.0012773817500000002, 0.0006886406999999999, 0.078054216, 0.078545286
8,1024, 0.0010247228500000001, 6.24905e-06, 0.0008721626, 0.0006113150000000001, 0.09507283949999999, 0.0955017565
16,1024, 0.0013761272999999999, 4.90025e-05, 0.0008245845500000001, 0.0005088692999999999, 0.18011924999999998, 0.180576445
32,1024, 0.001540776, 9.866654999999998e-05, 0.0010957533, 0.00046411339999999997, 0.18091707500000004, 0.181560255
